Nome da Embarca__o;N_mero de Inscri__o no RGP (PPP ou RAEP);N_mero de Inscri__o na Marinha do Brasil;AB;Comprimento;Propuls_o;HP;Capacidade do Por_o;Volume do Tanque;Tripula__o;N_mero de Covos;Status;UF;N_mero da Frota;C_digo IN;Petrecho;Ano de Constru__o
ADASSA;RJ00304379;386M2001002631;0,2;5,9;Motor;15;1,6;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2001
ADELAIDE;SC00170796;442M2007004761;;6;Motor;7,5;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
ADELIA;CE00033737;1610061535;1;6,4;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;2002
ADELPHO'S;RJ00051659;3850001300;9;9;Motor;160;0,35;;2;;Deferida;RJ;1.06.001;1.14;1. Linha;1986
ADEMAR;PR00070937;4210271152;0,7;7,78;Motor;11;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1997
ADENILSON;BA00173048;2810246548;4;8,3;Motor;15;;;2;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1992
ADENOR MARTHINS;CE00305971;1630047171;41;14,98;Motor;180;;8000;7;;Deferida;CE;1.10.001;1.17;1. Linha;2018
ADERBAL;RN00013487;1810037948;2,2;7,8;Motor;18;;;3;160;Deferida;RN;5.01.001;5.1;5. Armadilha;1981
ADERTSON;RN00026876;1810047625;5;9,6;Motor;60;;2900;3;220;Deferida;RN;5.01.001;5.1;5. Armadilha;1994
ADILIO E EDMUNDO;PR00041668;4211508750;2,5;9;Motor;24;;;5;;Deferida;PR;6.08.004;6.11;6. Diversificada;2005
ADILMAR;RJ00236949;3860008773;18,4;14,3;Motor;180;;;4;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;1982
ADILMAR III;SP00037909;4030127924;7;9;Motor;115;;;3;;Deferida;SP;3.03.001;3.6;3. Rede de Arrasto;1983
ADILMAR IV;SP00004766;4030147518;18;12;Motor;115;;7000;4;;Deferida;SP;3.03.001;3.6;3. Rede de Arrasto;1986
ADILSON I;SC00091137;4420171120;3,6;9;Motor;45;;8000;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1992
ADIR JUNIOR;SC00155634;441M2008000509;;4;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2000
Admirad_o;SP00164017;4040080181;4,5;8;Motor;;;;3;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1980
ADNANREF;SP00327855;4019905011;0,1;6,5;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2001
ADOLPHO JOSE;SC00008600;4430096830;203;29,4;Motor;570;;40000;25;;Deferida;SC;1.05.001;1.13;1. Linha;1990
ADONAI;ES00017047;3420048289;3,4;7,5;Motor;20;1,2;100;4;160;Deferida;ES;5.01.001;5.1;5. Armadilha;1993
ADONAI I;RJ00180877;3877043003;5,3;9,8;Motor;33;;;2;;Deferida;RJ;1.06.001;1.14;1. Linha;2004
ADONAY;ES00134724;3420042434;8,7;9,8;Motor;56;;2589;6;;Deferida;ES;1.02.001;1.3;1. Linha;1986
ADONIAS NETO;BA00070561;2820081487;15,2;11,82;Motor;110;;8056;5;;Deferida;BA;1.06.003;1.12;1. Linha;2005
ADONNES;AL00244410;2410124551;6,4;9;Motor;46;;;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;1980
ADRI;SC00205656;4420196742;0,5;6;Motor;;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2002
ADRI;SC00338968;441M2022004849;1;6,42;Motor;8;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1970
ADRIAN;SC00226066;4420209461;2,3;8;Motor;11;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
ADRIAN;SE00002238;2410141552;3,3;9;Motor;40;;2970;3;;Deferida;SE;3.02.005;3.5;3. Rede de Arrasto;1989
ADRIANA;SC00236165;442M2009004443;;5,8;Motor;;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
ADRIANA;SC00179228;442M2012001746;;6,5;Motor;50;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2011
ADRIANA;BA00262868;3420047614;5,9;8,5;Motor;18;;;5;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;
ADRIANA;PR00288108;421M2006001402;;4,82;Remo;;;;1;;Deferida;PR;6.04.001;null;6. Diversificada;2001
ADRIANA;PR00223598;4215518521;1;9;Motor;22;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2010
ADRIANA;RJ00171734;386M2012000158;;4,64;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1993
ADRIANA-A;SC00177038;442M2007006462;;4,5;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
ADRIANA E ALICE;SC00316978;4418909648;2;8,5;Motor;18;;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2000
ADRIANA I;CE00254499;1430063459;13;11,2;Motor;68;;;6;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;1992
ADRIANA I;CE00026888;1620005166;1;6,87;Vela;;;;5;80;Deferida;CE;5.01.003;5.2;5. Armadilha;1977
ADRIANA III;SC00207518;4430052361;2,1;8,8;Motor;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1977
ADRIANA PINHEIRO;SC00040608;4410106180;83;22;Motor;350;;35000;4;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;1977
ADRIANE II;BA00259937;2810285225;7;8,1;Motor;18;;;1;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2008
ADRIANO;MA00252991;1210141655;;7,18;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2005
ADRIANO;PR00290077;421M2007002565;;6,3;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2007
ADRIANO;CE00106481;1620021382;1,8;7,5;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;1996
ADRIANO COSTA;SP00130698;401M2011027481;;5,95;Motor;18;;;4;;Deferida;SP;6.03.001;6.6;6. Diversificada;2011
ADRIANO E ALEXANDRE;SC00224178;4430084424;2;9;Motor;18;;;4;;Deferida;SC;6.08.002;6.9;6. Diversificada;1986
ADRIANO GENTIL;SP00326687;401M2021000010;;4,8;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;1979
ADRIANO II;SC00147237;4430077649;1,5;7;Motor;10;;;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1979
ADRIANO II;CE00026164;1830056441;4;7,52;Motor;50;1;150;5;160;Deferida;CE;5.01.001;5.1;5. Armadilha;1985
ADRIANO LUIZ;CE00242820;1630041050;25;13,97;Motor;96;;4500;8;;Deferida;CE;1.03.005;1.6;1. Linha;2004
ADRIANO NEGRAO;PA00226974;210271591;4,2;10,7;Motor;46;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1999
ADRIANO PEREIRA;SP00255091;401M2014017001;;5,9;Motor;15;;;;;Deferida;SP;6.03.001;6.6;6. Diversificada;2014
ADRIANO SANTOS;SC00010957;4430110590;60;20,21;Motor;267;;8000;7;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2000
ADRIANO V;PR00197644;421M2010000945;;5,8;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2005
ADRIANO VIII;CE00092995;1610032080;15;11,6;Motor;;;;6;300;Deferida;CE;5.01.001;5.1;5. Armadilha;1972
ADRIAN P;CE00314578;1630047686;43;14,95;Motor;215;;8000;7;;Deferida;CE;1.10.001;1.17;1. Linha;2018
ADRIANY;SP00215981;4030248896;0,16;9,58;Motor;9;;;;;Deferida;SP;1.06.001;1.14;1. Linha;2006
ADRIAO;ES00008220;3420012985;1,9;8,2;Motor;22;;;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1953
ADRIEL DEREQUE;BA00168797;2930031794;1;6,4;Motor;11;;20;;;Deferida;BA;3.00.000;null;3. Rede de Arrasto;2008
ADRIELE;SC00070987;4430107572;3;7,8;Motor;14;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1998
ADRIELE I;RJ00299009;3870060042;7;11;Motor;90;0,5;;2;;Deferida;RJ;1.02.002;1.7;1. Linha;1999
ADRIELE I;CE00026890;161M2005000924;;5,9;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;2005
ADRIELLE;RJ00062458;3860003186;5,6;9,3;Motor;55;;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1970
ADRIELLE;CE00026908;161M2007004377;;4,39;Vela;;;;4;30;Deferida;CE;5.01.004;5.3;5. Armadilha;2002
ADRIMAR;SC00229398;445M2005000171;;4,2;Motor;25;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1999
ADRIPESCA IX;AP00308509;220112690;30;14,8;Motor;114;;3000;3;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;2017
ADRIPESCA VI;AP00232257;220086125;19,43;17,4;Motor;114;;2000;6;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;2011
ADRIPESCA VII;AP00232277;220086150;13,32;13,5;Motor;114;;1600;4;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;2010
ADRIPESCA X;AP00216987;220088641;19,57;17,8;Motor;115;;2000;2;;Deferida;AP;2.04.003;2.11;2. Rede de Emalhe;2011
ADY-MAR;RJ00301755;3880000921;9;11;Motor;115;;;3;;Deferida;RJ;1.06.001;1.14;1. Linha;2016
AERO NAVAL I;CE00013527;1610035615;14;11,4;Motor;72;;3400;5;300;Deferida;CE;5.01.001;5.1;5. Armadilha;1977
AEROPORTO;RJ00071009;3870057947;5,6;9,5;Motor;94;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1997
A ESTRELA DALVA;AL00267516;241M2010001595;;5,5;Vela;;;;4;;Deferida;AL;6.03.003;6.5;6. Diversificada;2009
A Estrela do Mar;PE00111140;2210150078;1;7;Vela;;;;3;80;Deferida;PE;5.01.004;5.3;5. Armadilha;1998
A FAVORITA;MA00201088;1210125676;1;6,8;Motor;11;;200;2;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2000
A FERA DO MAR;PA00194734;270014454;2,5;11;Motor;9;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1998
A FILHA DO VENTO;PE00035211;2210149851;;7;Vela;;;;3;80;Deferida;PE;5.01.004;5.3;5. Armadilha;2001
AFIRMA;SC00160051;441M2008005519;;4,98;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2006
A FLOR DAS CANDEIAS;PE00197820;2210109311;2,4;8,5;Motor;22;;;3;;Deferida;PE;1.01.003;1.4;1. Linha;1988
AFOBADINHA;SC00163387;441M2008002871;;5,06;Remo;;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1997
AFONSINHO;PA00093789;210315393;4,2;8,1;Motor;49;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2007
AFONSO;RJ00156538;387M2001008306;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1986
AFONSO I;PA00093645;210300094;7,4;10,2;Motor;33;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2003
AFONSO IV;PA00093669;210300124;8;10,25;Motor;33;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2003
AFONSO V;PA00093681;210300132;7,4;10,25;Motor;69;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2003
AFONSO VI;PA00093631;210300256;7;9,7;Motor;33;;;3;;Deferida;PA;1.03.004;1.5;1. Linha;2003
AFONSO VII;PA00093657;210300906;8;9,2;Motor;33;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2003
A FOR_A TOTAL;RJ00119548;3850012301;8,4;10,5;Motor;90;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1995
A FORCA TOTAL II;RJ00071017;3850012310;8,4;10,5;Motor;;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1998
AFRADAN;PB00013531;2010069200;2,4;7;Motor;30;;;5;140;Deferida;PB;5.01.001;5.1;5. Armadilha;1993
AFRICANO;RJ00130720;387M2007000518;;6;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2007
AFRODITE;CE00110798;1610059646;7,5;10,6;Motor;36;;;3;250;Deferida;CE;5.01.001;5.1;5. Armadilha;2000
AFRODITI;SC00258381;442M2005003561;;6;Motor;6;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
AG 01;PA00103535;210991267;6;8,9;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2010
AG 02;PA00103691;210991275;6;8,9;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2010
AG 03;PA00103687;210991283;6;8;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2010
AG 04;PA00103585;210991291;5;8;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2010
AG 05;PA00103605;210991429;6;8;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2010
A GAIVOTA;PE00026910;2210149436;0,4;6,2;Vela;;;;4;80;Deferida;PE;5.01.004;5.3;5. Armadilha;2000
A GALILEIA;PE00035655;221M2007000496;;4,5;Vela;;;;3;30;Deferida;PE;5.01.004;5.3;5. Armadilha;2000
_GAPE;SC00172778;4420221470;1;8;Motor;11;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2008
Agape I;CE00016317;1620018659;0,9;5,32;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;1993
AGAPE JC;CE00284464;1630046370;48;16,76;Motor;140;;10000;9;;Deferida;CE;1.06.003;1.12;1. Linha;2015
AGAPE VI;RJ00160779;381M2013005577;0,5;5,9;Remo;;;;3;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2008
AGATA;PR00291567;421M2015003251;;5,95;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2014
AGATA SOFIA;SC00153438;443M2010004056;;5,5;Motor;8;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2006
AGATHA;PR00280388;421M2014001941;;6;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;1999
AGDA;SC00154934;4420189452;0,4;5,5;Motor;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1999
AGENOR;SC00248978;4418909826;1;6,9;Motor;12;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;
AGHATA;RJ00148405;387M2011002332;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2006
AGHATA;SC00216405;4430482781;3,4;9,05;Motor;14;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1983
AGHATA;ES00326997;2930061260;6;8,5;Motor;43;;;4;;Deferida;ES;1.06.001;1.14;1. Linha;2019
AGHATA;SC00183755;4420220333;1,4;7;Motor;11;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2008
AG I;PA00103617;210991194;8;10;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2011
AG II;PA00103559;210991208;8;10;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2011
AG III;PA00103725;210991224;8;10;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2011
AGITUSS NO MAR;SC00159378;4451111897;3;7,37;Motor;18;;;6;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2010
AGITUSS NO MAR II;SC00320587;441M2019002196;1;3,14;Remo;;;;2;;Deferida;SC;6.08.001;6.8;6. Diversificada;2008
AG IV;PA00103679;210991232;8;10;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2011
AGNES DE DEUS DO MAR;RJ00136110;3810487520;8,5;11,2;Motor;90;;;;;Deferida;RJ;2.02.001;2.2;2. Rede de Emalhe;1997
AGOB_;CE00242438;1630041033;17,9;12,28;Motor;108;;5000;6;;Deferida;CE;5.01.006;5.9;5. Armadilha;2003
AGOSTINHO;SC00184765;4451112320;14;12;Motor;160;;;8;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2011
A. GOUVEA;PA00131836;210309661;35,4;21,98;Motor;200;;;4;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2005
A GOUVEA II;PA00129945;210984228;29;21;Motor;315;;;4;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2007
AGRADE_O A DEUS;ES00108021;3410237551;21;12,55;Motor;120;;4000;6;;Deferida;ES;1.02.001;1.3;1. Linha;2002
AGRADE_O AO SENHOR;RJ00240196;3410236830;10,5;11,68;Motor;90;;;4;;Deferida;RJ;1.02.001;1.3;1. Linha;2003
AGRADE_O AO SENHOR I;RJ00111808;3810313408;8,5;10;Motor;50;;;1;;Deferida;RJ;1.02.002;1.7;1. Linha;1964
A GRANDE FAMILIA;SP00288990;403M2002003091;;5;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;1996
AGUA AZUL;PR00285628;421M2006000953;;5,2;Remo;;;;1;;Deferida;PR;6.04.001;null;6. Diversificada;2001
AGUA AZUL;SC00158150;441M2010003231;;4;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
AGUA AZUL;SC00167369;442M2006001592;;4,2;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
_GUA CLARA II;RJ00148727;386M2012002291;0,3;5;Remo;;;;6;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2008
AGUA DA VIDA;PE00219687;2210082412;4,1;8,3;Motor;23;;;3;;Deferida;PE;2.02.002;2.5;2. Rede de Emalhe;1981
_gua da Vida;BA00121881;2930018160;12,07;12;Motor;229;;;8;300;Deferida;BA;5.01.001;5.1;5. Armadilha;1998
_GUA DA VIDA;RJ00134448;3870060018;2;7,5;Motor;1,55;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1999
AGUA DA VIDA I;CE00232967;2930023708;23;13,5;Motor;;;;8;;Deferida;CE;1.06.003;1.12;1. Linha;2005
_GUA DOCE II;RJ00150276;388M2018001356;0,3;4,8;Remo;;0,12;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2005
_GUA DO PARA_BA;RJ00138870;387M2011003495;0,4;5,2;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2006
AGUA LINDA;RJ00237207;3860004221;18;14;Motor;270;;;3;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;1977
AGUA MAR_;CE00287028;161M2012000487;;2,67;Vela;;;;;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;1998
AGUA MARINHA;ES00342671;3870060841;4,6;9;Motor;;;;1;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;2000
_GUA MARINHA I;SP00037917;4430053626;58;17,93;Motor;220;;12000;4;;Deferida;SP;5.02.002;5.10;5. Armadilha;1977
AGUA NOS DEUS;CE00036139;161M2007002668;;4,1;Motor, Vela;;;;4;30;Deferida;CE;5.01.003;5.2;5. Armadilha;2003
AGUA P;BA00259837;2930020636;1,6;6,7;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2000
_GUA P_;RJ00171804;387M2010000755;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2006
_GUA SAGRADA;ES00126947;3410384596;34;14,85;Motor;210;;;7;;Deferida;ES;1.02.001;1.3;1. Linha;2009
AGUA SANTA I;SC00050985;4430096724;2,7;8,5;Motor;18;2,4;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1991
AGUAS CLARAS;ES00013545;3420044488;5,9;9;Motor;33;;2500;6;200;Deferida;ES;5.01.001;5.1;5. Armadilha;1988
AGUAS CLARAS;SC00199438;442M2001018967;;5;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1989
AGUAS CLARAS;SC00169137;4410106554;1,1;8;Motor;11;1,4;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1978
AGUAS CLARAS;SP00215837;4039127277;0,8;5,8;Motor;15;;;;;Deferida;SP;6.03.001;6.6;6. Diversificada;2009
AGUAS CLARAS;RJ00126775;383M2010002036;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2003
_GUAS CLARAS C;PA00000408;210183055;78;21,4;Motor;375;;60327;4;;Deferida;PA;3.02.003;3.3;3. Rede de Arrasto;1979
_GUAS CLARAS I;ES00062488;3410236325;9,1;9,94;Motor;60;;;5;;Deferida;ES;3.02.005;3.5;3. Rede de Arrasto;1997
AGUAS CLARAS M;SP00047806;4450079124;21,9;14,3;Motor;190;;13000;4;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1990
Aguas do Rio Negro;PE00112804;2210114101;27,4;16,22;Motor;120;;;;;Deferida;PE;1.01.002;1.1;1. Linha;1990
AGUAS I;PA00283778;211015211;8;12;Motor;49;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2015
AGUAS TRANQUILHAS;CE00033741;1630037168;1,4;7,34;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;1999
AGUA VERDE;BA00216429;2810248338;2,7;7,7;Motor;18;;;2;;Deferida;BA;1.06.003;1.12;1. Linha;1993
AGUA VERDE II;SC00170450;4450082567;2,1;7,6;Motor;11;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1998
AGUA VIVA;SC00252607;442M2001018649;;5;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1989
AGUA VIVA;SC00163177;442M2007002149;;5;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
AGUA VIVA;PR00288454;421M2008006081;;5,4;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2006
AGUA VIVA;SP00296017;403M2005007968;;4,3;Remo;;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;1983
AGUA VIVA;SC00260834;441M2003000738;1;5;Motor;4;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1980
AGUA VIVA;RJ00111328;387M2011000500;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2010
AGUA VIVA;SC00305607;443M2017003408;0,5;4;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2017
AGUA VIVA;SC00307987;4418920021;1;6,2;Motor;9;;;;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2011
AGUA VIVA;CE00033755;161M2007002218;;4,34;Vela;;;;3;30;Deferida;CE;5.01.004;5.3;5. Armadilha;2000
_GUA VIVA;RJ00210427;387M2010002260;;5,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2010
_GUA VIVA;RJ00146389;387M2011002651;;6;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2006
_GUA VIVA;RJ00130558;341M2009003093;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2009
_GUA VIVA;SP00071035;4430094641;2,4;8,3;Motor;11;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1989
AGUA VIVA I;SP00004920;4410098110;32,1;17,3;Motor;155;;15000;3;;Deferida;SP;5.02.002;5.10;5. Armadilha;1973
_GUA VIVA I;RJ00147167;3860013645;2,4;8,77;Motor;10;;;1;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;2001
AGUA VIVA II;ES00185307;3410241230;7,8;10,35;Motor;;;;4;;Deferida;ES;1.06.001;1.14;1. Linha;2006
AGUA VIVA III;ES00071047;3430043239;2,9;8,5;Motor;140;;;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1988
_GUA VIVA JC;CE00102127;161M2006000495;;5,45;Motor, Vela;13;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;2003
AGUA VIVA JR;CE00013557;1620022010;1;6,1;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;1995
_GUA VIVA M;SP00123125;4430110352;34;17,05;Motor;198;;13000;8;;Deferida;SP;5.02.003;5.11;5. Armadilha;2000
AGUA VIVA XI;SC00344415;4450093631;0,4;5,13;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2004
AGUA VIVA XV;SC00050997;4450096029;4,7;10,4;Motor;54;;;;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2006
AGUA VIVA XVI;SC00195040;4451113733;2;7,85;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
AGUA VIVA XVIII;SC00284154;4451116988;0,9;6,92;Motor;7,5;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2016
AGUERA;SC00119858;4410174304;1;7;Motor;18;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2006
AGUERA I;SP00091079;4430060339;8,5;10,7;Motor;115;2;10000;3;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1979
AGUIA;SC00155598;442M2001001843;;5;Motor;18;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1998
AGUIA;SC00176988;442M2011003951;;4;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2011
AGUIA;SC00156180;4430109559;1,2;7;Motor;9;1,2;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1999
AGUIA;PR00295665;421M2008008709;;5,58;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2005
AGUIA;BA00239905;2930000074;2,1;8;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1931
AGUIA-A;RJ00124807;3822935573;3,1;8;Motor;80;;;2;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;1995
AGUIA AZUL;RJ00151748;387M2012001522;;7,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2008
_GUIA AZUL;RJ00135058;387M2008000241;;7;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2006
AGUIA AZUL III;PR00288404;421M2007002042;;7,5;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2004
AGUIA AZUL III;PR00071059;4211494627;0,9;6,9;Motor;7;;;3;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2004
AGUIA AZUL III;SC00341801;442M2006000588;1,99;6,4;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
AGUIA B;SC00179798;443M2005001171;0,8;4,5;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
AGUIA BRANCA;RJ00274065;388M2013000783;0,4;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2005
AGUIA BRANCA;SC00061478;4440008127;0,7;9,26;Remo;;;;6;;Deferida;SC;6.08.004;6.11;6. Diversificada;1953
AGUIA BRANCA;PB00036147;2010073622;4,2;8;Motor;18;;;6;160;Deferida;PB;5.01.001;5.1;5. Armadilha;1977
_GUIA BRANCA;RJ00134618;3840161509;9,8;11,5;Motor;75;;;5;;Deferida;RJ;1.02.001;1.3;1. Linha;2002
_GUIA BRANCA;RJ00145627;387M2007001182;;4;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2005
