Nome da Embarca__o;N_mero de Inscri__o no RGP (PPP ou RAEP);N_mero de Inscri__o na Marinha do Brasil;AB;Comprimento;Propuls_o;HP;Capacidade do Por_o;Volume do Tanque;Tripula__o;N_mero de Covos;Status;UF;N_mero da Frota;C_digo IN;Petrecho;Ano de Constru__o
SUSI;SC00229988;441M2008001939;1;4,2;Motor;5;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
SUSTENTA FAM_LIA;RJ00313108;388M2018000741;0,5;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2017
SUYANE;SC00153818;443M2008002134;;3,7;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2002
SUZANA;RJ00137528;3840080215;3,52;5,6;Remo;;;;2;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;1987
SUZANA;RJ00143371;381M2005000354;0,13;3,5;Remo;;;;1;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1969
SUZANA;PR00174060;421M2008008601;;5,64;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2006
SUZANA 6;RJ00261936;3813873714;14;13,4;Motor;170;;;2;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;2009
SUZANA IV;SC00332218;4451119928;1;7,66;Remo;;;;1;;Deferida;SC;6.08.004;6.11;6. Diversificada;2011
SUZANE II;PR00082858;4211453777;0,4;8,73;Motor;11;;;1;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1998
SUZANI;SC00214909;443M2009040613;2;5;Motor;11;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2009
SUZE;SC00318638;4410110454;0,1;6,7;Motor;8;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;
SUZI;SC00156926;442M2011000286;;5,5;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2010
SUZI;PR00291699;421M2014005262;;6,49;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2014
SUZI;SC00318138;4418913149;0,5;5,35;Motor;7;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2015
SUZI;SC00246500;4418907220;2;7,81;Motor;18;8,6;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
SUZI;CE00035047;1610056710;1;7,4;Motor, Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;1993
SUZIMAR;SC00318848;443M2017003033;0,5;6,5;Motor;15;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2017
SVM I;PA00001128;1610040261;97;21,23;Motor;365;;54888;7;;Deferida;PA;3.02.003;3.3;3. Rede de Arrasto;1980
SVM II;PA00000168;4030059724;96;22;Motor;375;;45086;7;;Deferida;PA;3.01.001;3.1;3. Rede de Arrasto;1970
SVM III;PA00000184;4030072208;88,1;22,25;Motor;335;;45075;7;;Deferida;PA;3.01.001;3.1;3. Rede de Arrasto;1972
SV PESCADOS;SC00197524;4451111722;1;9,26;Motor;24;;;4;;Deferida;SC;6.08.001;6.8;6. Diversificada;2010
SWISSANO I;RJ00126707;3870061146;13;11,3;Motor;90;;;3;;Deferida;RJ;1.02.001;1.3;1. Linha;2000
SWORDFISH;ES00065954;3850011879;9,6;11,5;Motor;90;;;3;;Deferida;ES;5.01.007;5.5;5. Armadilha;1997
SWORDFISH I;ES00062838;3410149091;16,5;13,47;Motor;120;;;11;;Deferida;ES;1.02.001;1.3;1. Linha;1999
SYLVANA;PI00046838;1820023281;19,9;13,6;Motor;145;;5000;4;;Deferida;PI;3.02.005;3.5;3. Rede de Arrasto;1986
SYNTHIA;ES00126097;3420042647;7;11;Motor;;;;6;;Deferida;ES;1.06.001;1.14;1. Linha;1987
SYNTIA;CE00263208;161M2012001203;;3,85;Vela;;;;3;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;1999
TABAI;SC00303447;442M2018001452;2;5,44;Motor;15;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2018
TABALUGA;SP00082824;3860008901;3,3;7,92;Motor;40;;;;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1985
TABANGA;ES00098467;3420016417;0,8;4,8;Remo;;;;3;;Deferida;ES;6.03.001;6.6;6. Diversificada;1969
TABATA;PR00283370;421M2009000325;;5,5;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2005
TABATINGA;PB00025224;2010073169;2,8;7,5;Motor;19;1;100;6;160;Deferida;PB;5.01.001;5.1;5. Armadilha;1996
TABGARA;SP00330508;401M2021013651;;5;Remo;;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2021
TABRU;RJ00297621;3840166268;3;8,2;Motor;18;0,4;;4;;Deferida;RJ;1.06.001;1.14;1. Linha;1982
TABUAS DAS MARES;SC00221614;442M2010001487;;6;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
TA CHERADO;SC00318758;4420231564;1,4;6,2;Motor;15;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;
TACINHA;PE00281054;2210169381;1;7;Motor;6,5;;;4;;Deferida;PE;6.03.003;6.5;6. Diversificada;2014
TACYBEL;SP00197116;401M2001198456;;5;Motor;15;;;2;;Deferida;SP;6.03.001;6.6;6. Diversificada;1999
TADEU;BA00273417;2930000589;2,9;8,4;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1981
TAGIPUERA;BA00236045;2930008849;4,9;9,1;Motor;;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1997
TAG-MARRAL;RJ00143385;3810151572;1,2;7,05;Motor;24;;;5;;Deferida;RJ;1.06.001;1.14;1. Linha;1965
TAHITI;RJ00049508;3870061162;10;11,1;Motor;70;;;3;;Deferida;RJ;1.02.001;1.3;1. Linha;2001
TAI;RJ00003636;3810339598;114,5;22,85;Motor;350;;10000;15;;Deferida;RJ;1.05.001;1.13;1. Linha;1974
TA_;SC00179918;443M2008001391;0,8;5,8;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1998
TAIANA I;SP00082808;4430008329;1,3;9,05;Motor;45;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1948
TAIERO;CE00031961;161M2009000134;;4,75;Vela;;;;3;30;Deferida;CE;5.01.004;5.3;5. Armadilha;2002
TAI II;CE00272189;1610067282;1;7,53;Motor;12;;;3;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2010
TAI III;MA00205036;1210131323;3;7,42;Motor;11;;200;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2008
TAILANDIA;SC00166751;4410171461;0,3;8;Motor;15;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1999
TAIMAR;SC00164827;441M2009037241;;5,3;Remo;;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
TAIMBE;AL00025238;2410152597;7;8,45;Motor;18;;;3;200;Deferida;AL;5.01.001;5.1;5. Armadilha;1998
